target,token_normalization,entity_replacement,balance,feature_method,model,accuracy,precision_macro,recall_macro,f1_macro
direction,lemm,True,none,BOW,Support Vector Machines,0.9503105590062112,0.9478085895742941,0.8926984981635675,0.9159433764578062
direction,lemm,True,smote,Doc2Vec,Logistic Regression,0.6708074534161491,0.4686697301755626,0.4463845034581338,0.45184586811381067
direction,lemm,True,smote,Doc2Vec,Random Forest,0.7763975155279503,0.8155555555555555,0.44977533347435084,0.47845488877087394
direction,lemm,True,smote,Doc2Vec,Support Vector Machines,0.7391304347826086,0.24637681159420288,0.3333333333333333,0.2833333333333333
direction,lemm,True,smote,BOW,Logistic Regression,0.8944099378881988,0.8005158730158729,0.8644373081040196,0.8281402060471827
direction,lemm,True,smote,BOW,"Naive Bayes, Multinomial",0.8260869565217391,0.7162147793726742,0.757372972072124,0.7322480889004496
direction,lemm,True,smote,BOW,"Naive Bayes, Complement",0.84472049689441,0.7420289855072464,0.777467966591671,0.7574808444373661
direction,lemm,True,smote,BOW,Random Forest,0.8819875776397516,0.7864606087083151,0.8705267003826703,0.8218734250126
direction,lemm,True,smote,BOW,Support Vector Machines,0.9006211180124224,0.820956486042693,0.8758789557012735,0.8444888444888446
direction,lemm,True,ada,Doc2Vec,Logistic Regression,0.6708074534161491,0.4686697301755626,0.4463845034581338,0.45184586811381067
direction,lemm,True,ada,Doc2Vec,Random Forest,0.7763975155279503,0.8155555555555555,0.44977533347435084,0.47845488877087394
direction,lemm,True,ada,Doc2Vec,Support Vector Machines,0.7391304347826086,0.24637681159420288,0.3333333333333333,0.2833333333333333
direction,lemm,True,ada,BOW,Logistic Regression,0.8571428571428571,0.7460565044580513,0.8359389522399349,0.7790068829891839
direction,lemm,True,ada,BOW,"Naive Bayes, Multinomial",0.8260869565217391,0.7107361293141109,0.7838073444480766,0.7379619260918252
direction,lemm,True,ada,BOW,"Naive Bayes, Complement",0.8012422360248447,0.6726190476190476,0.7227852239293887,0.6889564336372845
direction,lemm,True,ada,BOW,Random Forest,0.8757763975155279,0.7728769701246766,0.8560339467594819,0.8066913315033616
direction,lemm,True,ada,BOW,Support Vector Machines,0.8944099378881988,0.804025179025179,0.8761289412790288,0.835112771094282
direction,lemm,False,none,Doc2Vec,Logistic Regression,0.6956521739130435,0.39796557120500786,0.36964534097391816,0.36749266059610886
direction,lemm,False,none,Doc2Vec,Random Forest,0.7329192546583851,0.6494623655913978,0.35696658526110675,0.33779399837793994
direction,lemm,False,none,Doc2Vec,Support Vector Machines,0.7391304347826086,0.24637681159420288,0.3333333333333333,0.2833333333333333
direction,lemm,False,none,BOW,Logistic Regression,0.8571428571428571,0.8150997150997151,0.7068181963861059,0.7431588214720745
direction,lemm,False,none,BOW,"Naive Bayes, Multinomial",0.7950310559006211,0.713301282051282,0.6198360351005391,0.6490478332583597
direction,lemm,False,none,BOW,"Naive Bayes, Complement",0.7701863354037267,0.6776302401302402,0.6467575588587837,0.6493769283167047
direction,lemm,False,none,BOW,Random Forest,0.8260869565217391,0.883838383838384,0.5901262106673332,0.650694721587741
direction,lemm,False,none,BOW,Support Vector Machines,0.8571428571428571,0.818975468975469,0.6920754571851625,0.7389372029634509
direction,lemm,False,smote,Doc2Vec,Logistic Regression,0.6956521739130435,0.39796557120500786,0.36964534097391816,0.36749266059610886
