embedding,stop_words,lemmatization,hidden_dim,lstm_stack,dropout,sample_weights,trainable,accuracy,precision_0,precision_1,precision_2,precision_macro,recall_0,recall_1,recall_2,recall_macro,f1_0,f1_1,f1_2,f1_macro
text_vectorization,False,False,64,False,True,False,False,0.29366459627329194,0.8907242693773825,0.888507718696398,0.0753436280332598,0.61819187203568,0.20386796568271048,0.8274760383386581,0.8117001828153565,0.6143480622789084,0.33179505383978225,0.8569065343258893,0.13788819875776398,0.44219659564114516
text_vectorization,False,True,128,True,True,True,True,0.2850931677018634,0.9200863930885529,0.85,0.08111239860950174,0.6170662638993515,0.18583684746255635,0.84185303514377,0.8957952468007313,0.6411617098023525,0.30921848536172275,0.8459069020866774,0.14875531268973893,0.43462690004604637
text_vectorization,False,True,128,True,True,True,False,0.9490683229813665,0.987434554973822,0.8292682926829268,0.6981664315937941,0.8382897597501809,0.959866220735786,0.8690095846645367,0.9049360146252285,0.9112706066751838,0.9734552425895887,0.8486739469578781,0.7882165605095542,0.870115250019007
text_vectorization,False,True,128,True,True,False,True,0.9593788819875776,0.973170731707317,0.9015444015444015,0.8416370106761566,0.9054507146426252,0.9863312490911734,0.7460063897763578,0.8647166361974405,0.8656847583549906,0.9797067956958186,0.8164335664335663,0.8530207394048693,0.8830537005114181
text_vectorization,False,True,128,True,True,False,False,0.9627329192546584,0.9740724824523708,0.9391480730223124,0.8454861111111112,0.9195688888619314,0.9888032572342591,0.7396166134185304,0.8903107861060329,0.8729102189196075,0.9813825948910377,0.8275245755138517,0.867319679430098,0.8920756166116625
text_vectorization,False,True,128,False,True,True,True,0.9539130434782609,0.9799736880573016,0.8754448398576512,0.7465224111282844,0.8673136463477458,0.9748436818380107,0.7859424920127795,0.8829981718464351,0.8812614485657417,0.9774019536375564,0.8282828282828283,0.8090452261306534,0.8715766693503461
text_vectorization,False,True,128,False,True,True,False,0.9572670807453416,0.9821480831138426,0.8674496644295302,0.7693548387096775,0.8729841954176835,0.9760069797876981,0.8258785942492013,0.8720292504570384,0.8913049414979793,0.9790679016847786,0.8461538461538461,0.8174807197943446,0.8809008225443232
text_vectorization,False,True,128,False,True,False,True,0.9601242236024845,0.97331803184622,0.9298245614035088,0.8250883392226148,0.9094103108241146,0.9866220735785953,0.7619808306709265,0.8537477148080439,0.8674502063525219,0.9799248989023686,0.8375768217734855,0.8391734052111411,0.8855583752956652
text_vectorization,False,True,128,False,True,False,False,0.9633540372670808,0.9770959377700951,0.9097472924187726,0.8447653429602888,0.9105361910497188,0.9863312490911734,0.805111821086262,0.8555758683729433,0.8823396461834596,0.9816918735074898,0.8542372881355933,0.8501362397820164,0.8953551338083665
text_vectorization,False,False,128,True,True,True,True,0.9522981366459627,0.9866031557011015,0.7892503536067893,0.768,0.8479511697692969,0.9637923513159808,0.8913738019169329,0.8775137111517367,0.9108932881282169,0.9750643618977565,0.8372093023255814,0.8191126279863481,0.8771287640698953
